Ticker,Score,Weight (%),Reason
FANG,0.92,10,"High FCF yield, strong profit margin, good ROE."
GILD,0.89,9,"High FCF yield, strong profit margin, good ROE."
KHC,0.88,9,"High FCF yield, good ROE, fair valuation."
AVGO,0.87,9,"High FCF yield, strong ROE, fair valuation."
CSCO,0.86,9,"High FCF yield, strong ROE, fair valuation."
MCHP,0.85,8,"High FCF yield, good ROE, fair valuation."
REGN,0.84,8,"High FCF yield, strong profit margin, good ROE."
TXN,0.83,8,"High FCF yield, strong ROE, fair valuation."
AMGN,0.82,8,"High FCF yield, strong ROE, fair valuation."
KLAC,0.81,8,"High FCF yield, strong ROE, fair valuation."
META,0.80,8,"High FCF yield, strong ROE, fair valuation."
MSFT,0.79,6,"High FCF yield, strong ROE, fair valuation."
AAPL,0.78,6,"High FCF yield, strong ROE, fair valuation."
LRCX,0.77,6,"High FCF yield, strong ROE, fair valuation."
MU,0.76,6,"High FCF yield, good ROE, fair valuation."
