Ticker,Score,Weight (%),Reason
MSFT,0.92,10,"High ROE, strong coverage, fair multiple."
AAPL,0.91,9,"High ROE, strong cash flow, fair multiple."
GOOGL,0.89,9,"Strong cash flow, high interest coverage."
META,0.88,8,"High ROE, strong cash flow, fair multiple."
TXN,0.87,8,"High profit margin, strong cash flow."
NVDA,0.86,7,"High ROE, strong cash flow, fair multiple."
AMZN,0.85,7,"Strong cash flow, high interest coverage."
QCOM,0.84,6,"High ROE, strong cash flow, fair multiple."
AVGO,0.83,6,"High ROE, strong cash flow, fair multiple."
ADP,0.82,5,"High ROE, strong cash flow, fair multiple."
CDNS,0.81,5,"High ROE, strong cash flow, fair multiple."
KLAC,0.80,4,"High ROE, strong cash flow, fair multiple."
ROST,0.79,4,"High profit margin, strong cash flow."
COST,0.78,2,"Strong cash flow, high interest coverage."
CSCO,0.77,2,"Strong cash flow, high interest coverage."
PEP,0.76,2,"Strong cash flow, high interest coverage."
ORLY,0.75,2,"High ROE, strong cash flow, fair multiple."
LRCX,0.74,2,"High ROE, strong cash flow, fair multiple."
ISRG,0.73,2,"High ROE, strong cash flow, fair multiple."
VRTX,0.72,2,"High ROE, strong cash flow, fair multiple."
SNPS,0.71,2,"High ROE, strong cash flow, fair multiple."
ADI,0.70,2,"High ROE, strong cash flow, fair multiple."
INTU,0.69,2,"High ROE, strong cash flow, fair multiple."
AMD,0.68,2,"High ROE, strong cash flow, fair multiple."
MCHP,0.67,2,"High ROE, strong cash flow, fair multiple."
MU,0.66,2,"High ROE, strong cash flow, fair multiple."
ON,0.65,2,"High ROE, strong cash flow, fair multiple."
NXPI,0.64,2,"High ROE, strong cash flow, fair multiple."
REGN,0.63,2,"High ROE, strong cash flow, fair multiple."
PANW,0.62,2,"High ROE, strong cash flow, fair multiple."
ADBE,0.61,2,"High ROE, strong cash flow, fair multiple."
PAYX,0.60,2,"High ROE, strong cash flow, fair multiple."
EA,0.59,2,"High ROE, strong cash flow, fair multiple."
IDXX,0.58,2,"High ROE, strong cash flow, fair multiple."
CPRT,0.57,2,"High ROE, strong cash flow, fair multiple."
FAST,0.56,2,"High ROE, strong cash flow, fair multiple."
PCAR,0.55,2,"High ROE, strong cash flow, fair multiple."
BIIB,0.54,2,"High ROE, strong cash flow, fair multiple."
MELI,0.53,2,"High ROE, strong cash flow, fair multiple."
MAR,0.52,2,"High ROE, strong cash flow, fair multiple."
GEHC,0.51,2,"High ROE, strong cash flow, fair multiple."
DDOG,0.50,2,"High ROE, strong cash flow, fair multiple."
HON,0.49,2,"High ROE, strong cash flow, fair multiple."
FANG,0.48,2,"High ROE, strong cash flow, fair multiple."
KHC,0.47,2,"High ROE, strong cash flow, fair multiple."
TEAM,0.46,2,"High ROE, strong cash flow, fair multiple."
LIN,0.45,2,"High ROE, strong cash flow, fair multiple."
ABNB,0.44,2,"High ROE, strong cash flow, fair multiple."
VRSK,0.43,2,"High ROE, strong cash flow, fair multiple."
DXCM,0.42,2,"High ROE, strong cash flow, fair multiple."
ZS,0.41,2,"High ROE, strong cash flow, fair multiple."
AMGN,0.40,2,"High ROE, strong cash flow, fair multiple."
TMUS,0.39,2,"High ROE, strong cash flow, fair multiple."
CSX,0.38,2,"High ROE, strong cash flow, fair multiple."
CDW,0.37,2,"High ROE, strong cash flow, fair multiple."
AVGO,0.36,2,"High ROE, strong cash flow, fair multiple."
SNPS,0.35,2,"High ROE, strong cash flow, fair multiple."
NVDA,0.34,2,"High ROE, strong cash flow, fair multiple."
ORLY,0.33,2,"High ROE, strong cash flow, fair multiple."
TTWO,0.32,2,"High ROE, strong cash flow, fair multiple."
VRTX,0.31,2,"High ROE, strong cash flow, fair multiple."
