Ticker,Score,Weight (%),Reason
NVDA,0.95,10,"High ROE, strong interest coverage, excellent profit margin."
AAPL,0.92,9,"High ROE, strong cash flow, robust moat."
MSFT,0.90,9,"High ROE, strong interest coverage, fair valuation."
META,0.88,8,"High ROE, strong interest coverage, fair valuation."
GOOGL,0.87,8,"High interest coverage, strong cash flow, fair valuation."
AMZN,0.85,8,"Strong cash flow, robust moat, fair valuation."
ADP,0.84,7,"High ROE, strong cash flow, fair valuation."
KLAC,0.83,7,"High ROE, strong interest coverage, fair valuation."
TXN,0.82,6,"Strong interest coverage, fair valuation, robust moat."
ROST,0.81,6,"Strong interest coverage, fair valuation, robust moat."
LULU,0.80,6,"High ROE, strong cash flow, fair valuation."
IDXX,0.79,5,"High ROE, strong interest coverage, fair valuation."
CDNS,0.78,5,"Strong interest coverage, fair valuation, robust moat."
SNPS,0.77,4,"Strong interest coverage, fair valuation, robust moat."
VRTX,0.76,4,"Strong interest coverage, fair valuation, robust moat."
FAST,0.75,4,"Strong interest coverage, fair valuation, robust moat."
EA,0.74,3,"Strong interest coverage, fair valuation, robust moat."
PAYX,0.73,3,"Strong interest coverage, fair valuation, robust moat."
REGN,0.72,3,"Strong interest coverage, fair valuation, robust moat."
CSCO,0.71,3,"Strong interest coverage, fair valuation, robust moat."
