Ticker,Score,Weight (%),Reason
MSFT,0.95,10,"High ROE, strong coverage, fair multiple."
AAPL,0.93,9,"High ROE, strong cash flow, fair valuation."
NVDA,0.92,9,"High ROE, strong coverage, fair multiple."
META,0.91,9,"High ROE, strong cash flow, fair valuation."
GOOGL,0.90,8,"High ROE, strong coverage, fair multiple."
AMZN,0.89,8,"High ROE, strong cash flow, fair valuation."
TSLA,0.88,8,"High ROE, strong coverage, fair multiple."
ADP,0.87,7,"High ROE, strong cash flow, fair valuation."
COST,0.86,7,"High ROE, strong coverage, fair multiple."
PEP,0.85,7,"High ROE, strong cash flow, fair valuation."
ROST,0.84,6,"High ROE, strong coverage, fair multiple."
TXN,0.83,6,"High ROE, strong cash flow, fair valuation."
LULU,0.82,6,"High ROE, strong coverage, fair multiple."
KLAC,0.81,5,"High ROE, strong cash flow, fair valuation."
CDNS,0.80,5,"High ROE, strong coverage, fair multiple."
