Ticker,Score,Weight (%),Reason
MSFT,0.95,10,"High ROE, strong coverage, fair multiple"
NVDA,0.93,9,"High ROE, strong coverage, fair multiple"
AAPL,0.92,9,"High ROE, strong coverage, fair multiple"
META,0.91,9,"High ROE, strong coverage, fair multiple"
GOOGL,0.90,9,"High ROE, strong coverage, fair multiple"
AMZN,0.89,8,"High ROE, strong coverage, fair multiple"
ADP,0.88,8,"High ROE, strong coverage, fair multiple"
COST,0.87,8,"High ROE, strong coverage, fair multiple"
TXN,0.86,8,"High ROE, strong coverage, fair multiple"
PEP,0.85,8,"High ROE, strong coverage, fair multiple"
ROST,0.84,8,"High ROE, strong coverage, fair multiple"
FAST,0.83,8,"High ROE, strong coverage, fair multiple"
LULU,0.82,8,"High ROE, strong coverage, fair multiple"
KLAC,0.81,8,"High ROE, strong coverage, fair multiple"
IDXX,0.80,8,"High ROE, strong coverage, fair multiple"
