Ticker,Score,Weight (%),Reason
MSFT,0.95,10,Strong liquidity & profitability; high interest coverage.
MNST,0.92,9,Excellent interest coverage & profit margin; low D/E.
TXN,0.90,9,High profitability & interest coverage; strong working capital.
NVDA,0.88,8,High ROE & profit margin; strong asset turnover.
AAPL,0.87,8,High ROE & profit margin; strong asset turnover.
GOOGL,0.86,8,Strong liquidity & profitability; high interest coverage.
AMZN,0.85,8,Strong asset turnover & profitability; high interest coverage.
PEP,0.84,8,Strong profitability & interest coverage; high ROE.
ROST,0.83,7,Strong asset turnover & profitability; high interest coverage.
QCOM,0.82,7,Strong profitability & interest coverage; high ROE.
REGN,0.81,7,Strong liquidity & profitability; high interest coverage.
AVGO,0.80,7,Strong profitability & interest coverage; high ROE.
CDNS,0.79,6,Strong profitability & interest coverage; high ROE.
KLAC,0.78,6,Strong profitability & interest coverage; high ROE.
LRCX,0.77,6,Strong profitability & interest coverage; high ROE.
ISRG,0.76,5,Strong liquidity & profitability; high interest coverage.
IDXX,0.75,5,Strong profitability & interest coverage; high ROE.
CPTR,0.74,5,Strong liquidity & profitability; high interest coverage.
COST,0.73,5,Strong asset turnover & profitability; high interest coverage.
CSCO,0.72,5,Strong profitability & interest coverage; high ROE.
