Ticker,Score,Weight (%),Reason
NVDA,0.6,4.8,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
MNST,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
IDXX,0.4,3.5,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
BKR,0.4,3.5,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
CDW,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, JoelGreenblatt"
KLAC,0.4,3.5,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
AVGO,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, JosephPiotroski"
CMCSA,0.4,3.5,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
CTAS,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
CPRT,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
GOOGL,0.2,2.2,Consensus from 1 agents: WarrenBuffett
PCAR,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
KHC,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
GILD,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
NXPI,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
BIIB,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
REGN,0.2,2.2,Consensus from 1 agents: EdwardAltman
META,0.2,2.2,Consensus from 1 agents: WarrenBuffett
QCOM,0.2,2.2,Consensus from 1 agents: JosephPiotroski
ROST,0.2,2.2,Consensus from 1 agents: WarrenBuffett
AMAT,0.2,2.2,Consensus from 1 agents: EdwardAltman
ADBE,0.2,2.2,Consensus from 1 agents: JosephPiotroski
CDNS,0.2,2.2,Consensus from 1 agents: EdwardAltman
PLTR,0.2,2.2,Consensus from 1 agents: BenjaminGraham
FAST,0.2,2.2,Consensus from 1 agents: EdwardAltman
TXN,0.2,2.2,Consensus from 1 agents: WarrenBuffett
PYPL,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
AMD,0.2,2.2,Consensus from 1 agents: JosephPiotroski
AAPL,0.2,2.2,Consensus from 1 agents: WarrenBuffett
ABNB,0.2,2.2,Consensus from 1 agents: JosephPiotroski
ADP,0.2,2.2,Consensus from 1 agents: WarrenBuffett
SNPS,0.2,2.2,Consensus from 1 agents: BenjaminGraham
MSFT,0.2,2.2,Consensus from 1 agents: WarrenBuffett
GEHC,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
APP,0.2,2.2,Consensus from 1 agents: JosephPiotroski
TMUS,0.2,2.2,Consensus from 1 agents: BenjaminGraham
VRTX,0.2,2.2,Consensus from 1 agents: BenjaminGraham
AMZN,0.2,2.2,Consensus from 1 agents: WarrenBuffett
LRCX,0.2,2.2,Consensus from 1 agents: EdwardAltman
