stock,consensus_rate,agent_count,recommending_agents
FAST,0.6,3,"BenjaminGraham, JosephPiotroski, EdwardAltman"
CTAS,0.6,3,"JosephPiotroski, JoelGreenblatt, EdwardAltman"
GOOGL,0.4,2,"BenjaminGraham, WarrenBuffett"
NVDA,0.4,2,"BenjaminGraham, WarrenBuffett"
MNST,0.4,2,"BenjaminGraham, EdwardAltman"
LULU,0.4,2,"JosephPiotroski, EdwardAltman"
ISRG,0.4,2,"BenjaminGraham, EdwardAltman"
ADBE,0.4,2,"BenjaminGraham, JosephPiotroski"
AAPL,0.4,2,"JosephPiotroski, WarrenBuffett"
ADP,0.4,2,"JosephPiotroski, WarrenBuffett"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
PCAR,0.2,1,JoelGreenblatt
GILD,0.2,1,JoelGreenblatt
CSCO,0.2,1,JoelGreenblatt
KHC,0.2,1,JoelGreenblatt
NXPI,0.2,1,JoelGreenblatt
REGN,0.2,1,BenjaminGraham
IDXX,0.2,1,EdwardAltman
FANG,0.2,1,JoelGreenblatt
META,0.2,1,WarrenBuffett
MDLZ,0.2,1,JosephPiotroski
AMAT,0.2,1,JosephPiotroski
PEP,0.2,1,WarrenBuffett
MCHP,0.2,1,JoelGreenblatt
PLTR,0.2,1,BenjaminGraham
CRWD,0.2,1,JosephPiotroski
COST,0.2,1,WarrenBuffett
TXN,0.2,1,BenjaminGraham
PYPL,0.2,1,JoelGreenblatt
SHOP,0.2,1,EdwardAltman
EA,0.2,1,JosephPiotroski
CPRT,0.2,1,EdwardAltman
TMUS,0.2,1,JoelGreenblatt
TSLA,0.2,1,WarrenBuffett
VRTX,0.2,1,EdwardAltman
AMZN,0.2,1,WarrenBuffett
LRCX,0.2,1,EdwardAltman
