Ticker,Score,Weight (%),Reason
NVDA,0.6,6.2,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
TXN,0.6,6.2,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
AVGO,0.6,6.2,"Consensus from 3 agents: BenjaminGraham, JosephPiotroski, WarrenBuffett"
GOOGL,0.4,4.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
MNST,0.4,4.6,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
META,0.4,4.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
AMAT,0.4,4.6,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
ADBE,0.4,4.6,"Consensus from 2 agents: BenjaminGraham, JosephPiotroski"
CDNS,0.4,4.6,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
FAST,0.4,4.6,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
AAPL,0.4,4.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
MSFT,0.4,4.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
CSCO,0.2,3.1,Consensus from 1 agents: JosephPiotroski
ADSK,0.2,3.1,Consensus from 1 agents: JosephPiotroski
CDW,0.2,3.1,Consensus from 1 agents: JosephPiotroski
ISRG,0.2,3.1,Consensus from 1 agents: EdwardAltman
KLAC,0.2,3.1,Consensus from 1 agents: BenjaminGraham
KDP,0.2,3.1,Consensus from 1 agents: JosephPiotroski
ODFL,0.2,3.1,Consensus from 1 agents: EdwardAltman
AMD,0.2,3.1,Consensus from 1 agents: JosephPiotroski
ADP,0.2,3.1,Consensus from 1 agents: WarrenBuffett
CPRT,0.2,3.1,Consensus from 1 agents: EdwardAltman
VRTX,0.2,3.1,Consensus from 1 agents: EdwardAltman
AMZN,0.2,3.1,Consensus from 1 agents: WarrenBuffett
LRCX,0.2,3.1,Consensus from 1 agents: EdwardAltman
