stock,consensus_rate,agent_count,recommending_agents
REGN,0.8,4,"BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
MU,0.6,3,"BenjaminGraham, JoelGreenblatt, EdwardAltman"
NVDA,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
QCOM,0.6,3,"BenjaminGraham, JoelGreenblatt, WarrenBuffett"
TXN,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
GOOGL,0.4,2,"BenjaminGraham, EdwardAltman"
GILD,0.4,2,"JoelGreenblatt, WarrenBuffett"
FANG,0.4,2,"JosephPiotroski, WarrenBuffett"
META,0.4,2,"JoelGreenblatt, WarrenBuffett"
CTAS,0.4,2,"JosephPiotroski, EdwardAltman"
AAPL,0.4,2,"BenjaminGraham, WarrenBuffett"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
LRCX,0.4,2,"JoelGreenblatt, EdwardAltman"
AMGN,0.2,1,JosephPiotroski
CTSH,0.2,1,JosephPiotroski
ORLY,0.2,1,JoelGreenblatt
ADSK,0.2,1,JosephPiotroski
BIIB,0.2,1,JoelGreenblatt
MNST,0.2,1,EdwardAltman
MDLZ,0.2,1,JosephPiotroski
ROST,0.2,1,JoelGreenblatt
AMAT,0.2,1,BenjaminGraham
CDNS,0.2,1,JosephPiotroski
MCHP,0.2,1,JosephPiotroski
FAST,0.2,1,EdwardAltman
AVGO,0.2,1,JosephPiotroski
CMCSA,0.2,1,WarrenBuffett
AMD,0.2,1,BenjaminGraham
ABNB,0.2,1,JosephPiotroski
CPRT,0.2,1,EdwardAltman
VRTX,0.2,1,JoelGreenblatt
