Ticker,Score,Weight (%),Reason
TXN,0.6,5.0,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
AAPL,0.6,5.0,"Consensus from 3 agents: BenjaminGraham, JosephPiotroski, WarrenBuffett"
LRCX,0.6,5.0,"Consensus from 3 agents: JoelGreenblatt, EdwardAltman, WarrenBuffett"
AMGN,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
GOOGL,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
NVDA,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
KHC,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
CSCO,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
MNST,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
MCHP,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
FAST,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
AVGO,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
CTAS,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
MSFT,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
PCAR,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
NXPI,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
FANG,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
META,0.2,2.3,Consensus from 1 agents: WarrenBuffett
QCOM,0.2,2.3,Consensus from 1 agents: BenjaminGraham
ROST,0.2,2.3,Consensus from 1 agents: BenjaminGraham
LULU,0.2,2.3,Consensus from 1 agents: EdwardAltman
AMAT,0.2,2.3,Consensus from 1 agents: EdwardAltman
PEP,0.2,2.3,Consensus from 1 agents: BenjaminGraham
CDW,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
ISRG,0.2,2.3,Consensus from 1 agents: EdwardAltman
FTNT,0.2,2.3,Consensus from 1 agents: JosephPiotroski
KLAC,0.2,2.3,Consensus from 1 agents: WarrenBuffett
INTU,0.2,2.3,Consensus from 1 agents: JosephPiotroski
CSGP,0.2,2.3,Consensus from 1 agents: EdwardAltman
CRWD,0.2,2.3,Consensus from 1 agents: JosephPiotroski
CPRT,0.2,2.3,Consensus from 1 agents: EdwardAltman
VRTX,0.2,2.3,Consensus from 1 agents: EdwardAltman
AMZN,0.2,2.3,Consensus from 1 agents: BenjaminGraham
