stock,consensus_rate,agent_count,recommending_agents
TXN,1.0,5,"BenjaminGraham, JosephPiotroski, JoelGreenblatt, EdwardAltman, WarrenBuffett"
REGN,0.8,4,"BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
AMGN,0.4,2,"JosephPiotroski, WarrenBuffett"
GILD,0.4,2,"JoelGreenblatt, WarrenBuffett"
CSCO,0.4,2,"JoelGreenblatt, WarrenBuffett"
NXPI,0.4,2,"JosephPiotroski, JoelGreenblatt"
MNST,0.4,2,"BenjaminGraham, EdwardAltman"
FANG,0.4,2,"JoelGreenblatt, WarrenBuffett"
AMAT,0.4,2,"BenjaminGraham, EdwardAltman"
KLAC,0.4,2,"BenjaminGraham, WarrenBuffett"
AVGO,0.4,2,"JosephPiotroski, WarrenBuffett"
AAPL,0.4,2,"BenjaminGraham, JosephPiotroski"
LRCX,0.4,2,"JoelGreenblatt, EdwardAltman"
CTSH,0.2,1,JosephPiotroski
GOOGL,0.2,1,BenjaminGraham
NVDA,0.2,1,BenjaminGraham
PCAR,0.2,1,JoelGreenblatt
KHC,0.2,1,WarrenBuffett
ADSK,0.2,1,JosephPiotroski
QCOM,0.2,1,JoelGreenblatt
ADBE,0.2,1,BenjaminGraham
CDNS,0.2,1,EdwardAltman
MCHP,0.2,1,WarrenBuffett
CSGP,0.2,1,EdwardAltman
ADI,0.2,1,JosephPiotroski
COST,0.2,1,JosephPiotroski
CMCSA,0.2,1,JoelGreenblatt
CTAS,0.2,1,EdwardAltman
SNPS,0.2,1,EdwardAltman
MSFT,0.2,1,BenjaminGraham
MAR,0.2,1,JosephPiotroski
VRTX,0.2,1,EdwardAltman
