Ticker,Score,Weight (%),Reason
NVDA,0.8,6.2,"Consensus from 4 agents: BenjaminGraham, JosephPiotroski, EdwardAltman, WarrenBuffett"
CTAS,0.6,4.8,"Consensus from 3 agents: BenjaminGraham, JoelGreenblatt, EdwardAltman"
PEP,0.4,3.5,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
CDW,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, JoelGreenblatt"
TXN,0.4,3.5,"Consensus from 2 agents: EdwardAltman, WarrenBuffett"
CMCSA,0.4,3.5,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
ADP,0.4,3.5,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
CPRT,0.4,3.5,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
GOOGL,0.2,2.2,Consensus from 1 agents: WarrenBuffett
PCAR,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
GILD,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
NXPI,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
REGN,0.2,2.2,Consensus from 1 agents: BenjaminGraham
BIIB,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
MNST,0.2,2.2,Consensus from 1 agents: EdwardAltman
IDXX,0.2,2.2,Consensus from 1 agents: EdwardAltman
BKR,0.2,2.2,Consensus from 1 agents: JosephPiotroski
PAYX,0.2,2.2,Consensus from 1 agents: JosephPiotroski
META,0.2,2.2,Consensus from 1 agents: WarrenBuffett
QCOM,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
LULU,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
ADBE,0.2,2.2,Consensus from 1 agents: JosephPiotroski
ISRG,0.2,2.2,Consensus from 1 agents: EdwardAltman
FTNT,0.2,2.2,Consensus from 1 agents: JosephPiotroski
PLTR,0.2,2.2,Consensus from 1 agents: BenjaminGraham
FAST,0.2,2.2,Consensus from 1 agents: EdwardAltman
CSGP,0.2,2.2,Consensus from 1 agents: EdwardAltman
COST,0.2,2.2,Consensus from 1 agents: WarrenBuffett
AVGO,0.2,2.2,Consensus from 1 agents: BenjaminGraham
CSX,0.2,2.2,Consensus from 1 agents: JosephPiotroski
AMD,0.2,2.2,Consensus from 1 agents: JosephPiotroski
AAPL,0.2,2.2,Consensus from 1 agents: WarrenBuffett
SNPS,0.2,2.2,Consensus from 1 agents: BenjaminGraham
MSFT,0.2,2.2,Consensus from 1 agents: WarrenBuffett
APP,0.2,2.2,Consensus from 1 agents: JosephPiotroski
TMUS,0.2,2.2,Consensus from 1 agents: BenjaminGraham
VRTX,0.2,2.2,Consensus from 1 agents: BenjaminGraham
AMZN,0.2,2.2,Consensus from 1 agents: WarrenBuffett
LRCX,0.2,2.2,Consensus from 1 agents: EdwardAltman
