stock,consensus_rate,agent_count,recommending_agents
NVDA,0.8,4,"BenjaminGraham, JosephPiotroski, EdwardAltman, WarrenBuffett"
META,0.6,3,"BenjaminGraham, JosephPiotroski, WarrenBuffett"
FAST,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
GOOGL,0.4,2,"BenjaminGraham, WarrenBuffett"
REGN,0.4,2,"BenjaminGraham, EdwardAltman"
MNST,0.4,2,"BenjaminGraham, EdwardAltman"
LULU,0.4,2,"JosephPiotroski, WarrenBuffett"
AMAT,0.4,2,"JosephPiotroski, EdwardAltman"
TXN,0.4,2,"BenjaminGraham, EdwardAltman"
CTAS,0.4,2,"JosephPiotroski, JoelGreenblatt"
AAPL,0.4,2,"JosephPiotroski, WarrenBuffett"
ADP,0.4,2,"JosephPiotroski, WarrenBuffett"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
PCAR,0.2,1,JoelGreenblatt
GILD,0.2,1,JoelGreenblatt
KHC,0.2,1,JoelGreenblatt
CSCO,0.2,1,JoelGreenblatt
NXPI,0.2,1,JoelGreenblatt
FANG,0.2,1,JoelGreenblatt
ROST,0.2,1,BenjaminGraham
CDW,0.2,1,JoelGreenblatt
ADBE,0.2,1,BenjaminGraham
ISRG,0.2,1,EdwardAltman
KLAC,0.2,1,WarrenBuffett
KDP,0.2,1,JosephPiotroski
CSGP,0.2,1,EdwardAltman
CRWD,0.2,1,JosephPiotroski
PYPL,0.2,1,JoelGreenblatt
CMCSA,0.2,1,JoelGreenblatt
AMD,0.2,1,JosephPiotroski
MELI,0.2,1,WarrenBuffett
CPRT,0.2,1,EdwardAltman
LRCX,0.2,1,EdwardAltman
