stock,consensus_rate,agent_count,recommending_agents
TXN,0.8,4,"BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
REGN,0.6,3,"BenjaminGraham, JoelGreenblatt, EdwardAltman"
MU,0.4,2,"BenjaminGraham, JoelGreenblatt"
NVDA,0.4,2,"BenjaminGraham, WarrenBuffett"
NXPI,0.4,2,"BenjaminGraham, JoelGreenblatt"
META,0.4,2,"JoelGreenblatt, WarrenBuffett"
QCOM,0.4,2,"BenjaminGraham, JoelGreenblatt"
AMAT,0.4,2,"JoelGreenblatt, EdwardAltman"
KLAC,0.4,2,"BenjaminGraham, JoelGreenblatt"
AVGO,0.4,2,"JosephPiotroski, WarrenBuffett"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
VRTX,0.4,2,"EdwardAltman, WarrenBuffett"
LRCX,0.4,2,"JoelGreenblatt, EdwardAltman"
CTSH,0.2,1,JosephPiotroski
GOOGL,0.2,1,WarrenBuffett
PCAR,0.2,1,JoelGreenblatt
GILD,0.2,1,JosephPiotroski
ORLY,0.2,1,WarrenBuffett
ADSK,0.2,1,JosephPiotroski
MNST,0.2,1,EdwardAltman
ROST,0.2,1,JosephPiotroski
CDW,0.2,1,JosephPiotroski
ADBE,0.2,1,BenjaminGraham
MCHP,0.2,1,JosephPiotroski
FAST,0.2,1,EdwardAltman
CSGP,0.2,1,EdwardAltman
ODFL,0.2,1,EdwardAltman
ADI,0.2,1,JosephPiotroski
COST,0.2,1,JosephPiotroski
AMD,0.2,1,BenjaminGraham
AAPL,0.2,1,WarrenBuffett
SNPS,0.2,1,WarrenBuffett
EA,0.2,1,JosephPiotroski
CPRT,0.2,1,EdwardAltman
