stock,consensus_rate,agent_count,recommending_agents
NVDA,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
TXN,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
AVGO,0.6,3,"BenjaminGraham, JosephPiotroski, WarrenBuffett"
GOOGL,0.4,2,"BenjaminGraham, WarrenBuffett"
MNST,0.4,2,"JosephPiotroski, EdwardAltman"
META,0.4,2,"BenjaminGraham, WarrenBuffett"
AMAT,0.4,2,"BenjaminGraham, EdwardAltman"
ADBE,0.4,2,"BenjaminGraham, JosephPiotroski"
CDNS,0.4,2,"JosephPiotroski, WarrenBuffett"
FAST,0.4,2,"JosephPiotroski, EdwardAltman"
AAPL,0.4,2,"BenjaminGraham, WarrenBuffett"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
CSCO,0.2,1,JosephPiotroski
ADSK,0.2,1,JosephPiotroski
CDW,0.2,1,JosephPiotroski
ISRG,0.2,1,EdwardAltman
KLAC,0.2,1,BenjaminGraham
KDP,0.2,1,JosephPiotroski
ODFL,0.2,1,EdwardAltman
AMD,0.2,1,JosephPiotroski
ADP,0.2,1,WarrenBuffett
CPRT,0.2,1,EdwardAltman
VRTX,0.2,1,EdwardAltman
AMZN,0.2,1,WarrenBuffett
LRCX,0.2,1,EdwardAltman
