stock,consensus_rate,agent_count,recommending_agents
MU,0.8,4,"BenjaminGraham, JosephPiotroski, JoelGreenblatt, WarrenBuffett"
REGN,0.8,4,"BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
FANG,0.6,3,"JosephPiotroski, JoelGreenblatt, WarrenBuffett"
TXN,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
LRCX,0.6,3,"JoelGreenblatt, EdwardAltman, WarrenBuffett"
GILD,0.4,2,"JoelGreenblatt, WarrenBuffett"
NXPI,0.4,2,"JosephPiotroski, WarrenBuffett"
BIIB,0.4,2,"JoelGreenblatt, WarrenBuffett"
QCOM,0.4,2,"BenjaminGraham, JoelGreenblatt"
CDNS,0.4,2,"JosephPiotroski, EdwardAltman"
CMCSA,0.4,2,"JosephPiotroski, WarrenBuffett"
AAPL,0.4,2,"BenjaminGraham, JosephPiotroski"
GOOGL,0.2,1,BenjaminGraham
NVDA,0.2,1,BenjaminGraham
KHC,0.2,1,WarrenBuffett
CSCO,0.2,1,JosephPiotroski
MNST,0.2,1,EdwardAltman
META,0.2,1,JoelGreenblatt
ROST,0.2,1,JoelGreenblatt
AMAT,0.2,1,EdwardAltman
ISRG,0.2,1,EdwardAltman
WBD,0.2,1,JoelGreenblatt
MCHP,0.2,1,JosephPiotroski
FAST,0.2,1,EdwardAltman
AVGO,0.2,1,JosephPiotroski
AMD,0.2,1,BenjaminGraham
CHTR,0.2,1,JosephPiotroski
MSFT,0.2,1,BenjaminGraham
CPRT,0.2,1,EdwardAltman
VRTX,0.2,1,EdwardAltman
AMZN,0.2,1,BenjaminGraham
