Ticker,Score,Weight (%),Reason
TXN,1.0,7.7,"Consensus from 5 agents: BenjaminGraham, JosephPiotroski, JoelGreenblatt, EdwardAltman, WarrenBuffett"
REGN,0.8,6.4,"Consensus from 4 agents: BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
AMGN,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
GILD,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
CSCO,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
NXPI,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
MNST,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
FANG,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, WarrenBuffett"
AMAT,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
KLAC,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
AVGO,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
AAPL,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, JosephPiotroski"
LRCX,0.4,3.7,"Consensus from 2 agents: JoelGreenblatt, EdwardAltman"
CTSH,0.2,2.4,Consensus from 1 agents: JosephPiotroski
GOOGL,0.2,2.4,Consensus from 1 agents: BenjaminGraham
NVDA,0.2,2.4,Consensus from 1 agents: BenjaminGraham
PCAR,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
KHC,0.2,2.4,Consensus from 1 agents: WarrenBuffett
ADSK,0.2,2.4,Consensus from 1 agents: JosephPiotroski
QCOM,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
ADBE,0.2,2.4,Consensus from 1 agents: BenjaminGraham
CDNS,0.2,2.4,Consensus from 1 agents: EdwardAltman
MCHP,0.2,2.4,Consensus from 1 agents: WarrenBuffett
CSGP,0.2,2.4,Consensus from 1 agents: EdwardAltman
ADI,0.2,2.4,Consensus from 1 agents: JosephPiotroski
COST,0.2,2.4,Consensus from 1 agents: JosephPiotroski
CMCSA,0.2,2.4,Consensus from 1 agents: JoelGreenblatt
CTAS,0.2,2.4,Consensus from 1 agents: EdwardAltman
SNPS,0.2,2.4,Consensus from 1 agents: EdwardAltman
MSFT,0.2,2.4,Consensus from 1 agents: BenjaminGraham
MAR,0.2,2.4,Consensus from 1 agents: JosephPiotroski
VRTX,0.2,2.4,Consensus from 1 agents: EdwardAltman
