stock,consensus_rate,agent_count,recommending_agents
TXN,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
AAPL,0.6,3,"BenjaminGraham, JosephPiotroski, WarrenBuffett"
LRCX,0.6,3,"JoelGreenblatt, EdwardAltman, WarrenBuffett"
AMGN,0.4,2,"JoelGreenblatt, WarrenBuffett"
GOOGL,0.4,2,"BenjaminGraham, WarrenBuffett"
NVDA,0.4,2,"BenjaminGraham, WarrenBuffett"
KHC,0.4,2,"JosephPiotroski, JoelGreenblatt"
CSCO,0.4,2,"JosephPiotroski, JoelGreenblatt"
MNST,0.4,2,"BenjaminGraham, EdwardAltman"
MCHP,0.4,2,"JosephPiotroski, JoelGreenblatt"
FAST,0.4,2,"JosephPiotroski, EdwardAltman"
AVGO,0.4,2,"JosephPiotroski, WarrenBuffett"
CTAS,0.4,2,"JosephPiotroski, JoelGreenblatt"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
PCAR,0.2,1,JoelGreenblatt
NXPI,0.2,1,JoelGreenblatt
FANG,0.2,1,JoelGreenblatt
META,0.2,1,WarrenBuffett
QCOM,0.2,1,BenjaminGraham
ROST,0.2,1,BenjaminGraham
LULU,0.2,1,EdwardAltman
AMAT,0.2,1,EdwardAltman
PEP,0.2,1,BenjaminGraham
CDW,0.2,1,JoelGreenblatt
ISRG,0.2,1,EdwardAltman
FTNT,0.2,1,JosephPiotroski
KLAC,0.2,1,WarrenBuffett
INTU,0.2,1,JosephPiotroski
CSGP,0.2,1,EdwardAltman
CRWD,0.2,1,JosephPiotroski
CPRT,0.2,1,EdwardAltman
VRTX,0.2,1,EdwardAltman
AMZN,0.2,1,BenjaminGraham
