Ticker,Score,Weight (%),Reason
NVDA,0.8,6.3,"Consensus from 4 agents: BenjaminGraham, JosephPiotroski, EdwardAltman, WarrenBuffett"
TXN,0.6,5.0,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
GOOGL,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
NXPI,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
META,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
FANG,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
AMD,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, JosephPiotroski"
CTAS,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, JoelGreenblatt"
AAPL,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
ADP,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
MSFT,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
AMZN,0.4,3.7,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
LRCX,0.4,3.7,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
PCAR,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
GILD,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
KHC,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
CSCO,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
MNST,0.2,2.3,Consensus from 1 agents: EdwardAltman
ADSK,0.2,2.3,Consensus from 1 agents: JosephPiotroski
REGN,0.2,2.3,Consensus from 1 agents: EdwardAltman
QCOM,0.2,2.3,Consensus from 1 agents: BenjaminGraham
AMAT,0.2,2.3,Consensus from 1 agents: EdwardAltman
PEP,0.2,2.3,Consensus from 1 agents: WarrenBuffett
CDW,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
ISRG,0.2,2.3,Consensus from 1 agents: EdwardAltman
NFLX,0.2,2.3,Consensus from 1 agents: BenjaminGraham
CSGP,0.2,2.3,Consensus from 1 agents: EdwardAltman
COST,0.2,2.3,Consensus from 1 agents: WarrenBuffett
CMCSA,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
VRSK,0.2,2.3,Consensus from 1 agents: JosephPiotroski
EA,0.2,2.3,Consensus from 1 agents: JosephPiotroski
CPRT,0.2,2.3,Consensus from 1 agents: EdwardAltman
TMUS,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
VRTX,0.2,2.3,Consensus from 1 agents: EdwardAltman
