Ticker,Score,Weight (%),Reason
TXN,0.8,6.3,"Consensus from 4 agents: BenjaminGraham, JoelGreenblatt, EdwardAltman, WarrenBuffett"
GOOGL,0.6,4.9,"Consensus from 3 agents: BenjaminGraham, EdwardAltman, WarrenBuffett"
AVGO,0.6,4.9,"Consensus from 3 agents: BenjaminGraham, JosephPiotroski, WarrenBuffett"
AAPL,0.6,4.9,"Consensus from 3 agents: BenjaminGraham, JosephPiotroski, WarrenBuffett"
ADP,0.6,4.9,"Consensus from 3 agents: BenjaminGraham, JosephPiotroski, WarrenBuffett"
NVDA,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
COST,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
MSFT,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
LRCX,0.4,3.6,"Consensus from 2 agents: JoelGreenblatt, EdwardAltman"
CTSH,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
PCAR,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
GILD,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
CSCO,0.2,2.3,Consensus from 1 agents: WarrenBuffett
NXPI,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
BIIB,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
ADSK,0.2,2.3,Consensus from 1 agents: JosephPiotroski
MNST,0.2,2.3,Consensus from 1 agents: EdwardAltman
IDXX,0.2,2.3,Consensus from 1 agents: EdwardAltman
FANG,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
PAYX,0.2,2.3,Consensus from 1 agents: JosephPiotroski
META,0.2,2.3,Consensus from 1 agents: WarrenBuffett
LULU,0.2,2.3,Consensus from 1 agents: EdwardAltman
AMAT,0.2,2.3,Consensus from 1 agents: EdwardAltman
ADBE,0.2,2.3,Consensus from 1 agents: JosephPiotroski
ISRG,0.2,2.3,Consensus from 1 agents: EdwardAltman
CDNS,0.2,2.3,Consensus from 1 agents: BenjaminGraham
FTNT,0.2,2.3,Consensus from 1 agents: JosephPiotroski
MCHP,0.2,2.3,Consensus from 1 agents: JosephPiotroski
KLAC,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
PLTR,0.2,2.3,Consensus from 1 agents: JosephPiotroski
ADI,0.2,2.3,Consensus from 1 agents: JosephPiotroski
CSX,0.2,2.3,Consensus from 1 agents: JoelGreenblatt
CTAS,0.2,2.3,Consensus from 1 agents: EdwardAltman
VRTX,0.2,2.3,Consensus from 1 agents: EdwardAltman
AMZN,0.2,2.3,Consensus from 1 agents: BenjaminGraham
