stock,consensus_rate,agent_count,recommending_agents
NVDA,0.8,4,"BenjaminGraham, JosephPiotroski, EdwardAltman, WarrenBuffett"
TXN,0.6,3,"BenjaminGraham, EdwardAltman, WarrenBuffett"
GOOGL,0.4,2,"BenjaminGraham, WarrenBuffett"
NXPI,0.4,2,"JosephPiotroski, JoelGreenblatt"
META,0.4,2,"BenjaminGraham, WarrenBuffett"
FANG,0.4,2,"JosephPiotroski, JoelGreenblatt"
AMD,0.4,2,"BenjaminGraham, JosephPiotroski"
CTAS,0.4,2,"JosephPiotroski, JoelGreenblatt"
AAPL,0.4,2,"BenjaminGraham, WarrenBuffett"
ADP,0.4,2,"JosephPiotroski, WarrenBuffett"
MSFT,0.4,2,"BenjaminGraham, WarrenBuffett"
AMZN,0.4,2,"BenjaminGraham, WarrenBuffett"
LRCX,0.4,2,"JosephPiotroski, EdwardAltman"
PCAR,0.2,1,JoelGreenblatt
GILD,0.2,1,JoelGreenblatt
KHC,0.2,1,JoelGreenblatt
CSCO,0.2,1,JoelGreenblatt
MNST,0.2,1,EdwardAltman
ADSK,0.2,1,JosephPiotroski
REGN,0.2,1,EdwardAltman
QCOM,0.2,1,BenjaminGraham
AMAT,0.2,1,EdwardAltman
PEP,0.2,1,WarrenBuffett
CDW,0.2,1,JoelGreenblatt
ISRG,0.2,1,EdwardAltman
NFLX,0.2,1,BenjaminGraham
CSGP,0.2,1,EdwardAltman
COST,0.2,1,WarrenBuffett
CMCSA,0.2,1,JoelGreenblatt
VRSK,0.2,1,JosephPiotroski
EA,0.2,1,JosephPiotroski
CPRT,0.2,1,EdwardAltman
TMUS,0.2,1,JoelGreenblatt
VRTX,0.2,1,EdwardAltman
