Ticker,Score,Weight (%),Reason
FAST,0.6,4.9,"Consensus from 3 agents: BenjaminGraham, JosephPiotroski, EdwardAltman"
CTAS,0.6,4.9,"Consensus from 3 agents: JosephPiotroski, JoelGreenblatt, EdwardAltman"
GOOGL,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
NVDA,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
MNST,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
LULU,0.4,3.6,"Consensus from 2 agents: JosephPiotroski, EdwardAltman"
ISRG,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, EdwardAltman"
ADBE,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, JosephPiotroski"
AAPL,0.4,3.6,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
ADP,0.4,3.6,"Consensus from 2 agents: JosephPiotroski, WarrenBuffett"
MSFT,0.4,3.6,"Consensus from 2 agents: BenjaminGraham, WarrenBuffett"
PCAR,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
GILD,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
CSCO,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
KHC,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
NXPI,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
REGN,0.2,2.2,Consensus from 1 agents: BenjaminGraham
IDXX,0.2,2.2,Consensus from 1 agents: EdwardAltman
FANG,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
META,0.2,2.2,Consensus from 1 agents: WarrenBuffett
MDLZ,0.2,2.2,Consensus from 1 agents: JosephPiotroski
AMAT,0.2,2.2,Consensus from 1 agents: JosephPiotroski
PEP,0.2,2.2,Consensus from 1 agents: WarrenBuffett
MCHP,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
PLTR,0.2,2.2,Consensus from 1 agents: BenjaminGraham
CRWD,0.2,2.2,Consensus from 1 agents: JosephPiotroski
COST,0.2,2.2,Consensus from 1 agents: WarrenBuffett
TXN,0.2,2.2,Consensus from 1 agents: BenjaminGraham
PYPL,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
SHOP,0.2,2.2,Consensus from 1 agents: EdwardAltman
EA,0.2,2.2,Consensus from 1 agents: JosephPiotroski
CPRT,0.2,2.2,Consensus from 1 agents: EdwardAltman
TMUS,0.2,2.2,Consensus from 1 agents: JoelGreenblatt
TSLA,0.2,2.2,Consensus from 1 agents: WarrenBuffett
VRTX,0.2,2.2,Consensus from 1 agents: EdwardAltman
AMZN,0.2,2.2,Consensus from 1 agents: WarrenBuffett
LRCX,0.2,2.2,Consensus from 1 agents: EdwardAltman
