Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=15.72 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=12.64 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=12.23 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=11.47 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=10.19 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=10.01 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.73 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=9.44 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=9.54 Safe; strong EBIT/TA; low D/E.
CSGP,1.00,3,Z″=8.86 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=8.61 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.21 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=7.29 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.46 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.71 Safe; strong EBIT/TA; low D/E.
SHOP,1.00,3,Z″=7.79 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.21 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=7.29 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.46 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.71 Safe; strong EBIT/TA; low D/E.
SHOP,1.00,3,Z″=7.79 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.21 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=7.29 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.46 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.71 Safe; strong EBIT/TA; low D/E.
SHOP,1.00,3,Z″=7.79 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.21 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=7.29 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.46 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.71 Safe; strong EBIT/TA; low D/E.
