Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=15.76 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=12.31 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=11.38 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=11.25 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.38 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=9.37 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=8.68 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.70 Safe; strong EBIT/TA; low D/E.
SHOP,1.00,3,Z″=7.37 Safe; strong EBIT/TA; low D/E.
ADBE,1.00,3,Z″=7.06 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.08 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.37 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=6.30 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=5.94 Safe; strong EBIT/TA; low D/E.
PCAR,1.00,3,Z″=5.87 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=5.24 Safe; strong EBIT/TA; low D/E.
MU,1.00,3,Z″=5.05 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=4.74 Safe; strong EBIT/TA; low D/E.
DXCM,1.00,3,Z″=4.70 Safe; strong EBIT/TA; low D/E.
DDOG,1.00,3,Z″=4.55 Safe; strong EBIT/TA; low D/E.
EA,1.00,3,Z″=4.44 Safe; strong EBIT/TA; low D/E.
TSLA,1.00,3,Z″=4.23 Safe; strong EBIT/TA; low D/E.
HON,1.00,3,Z″=4.27 Safe; strong EBIT/TA; low D/E.
ADI,1.00,3,Z″=4.29 Safe; strong EBIT/TA; low D/E.
INTU,1.00,3,Z″=4.08 Safe; strong EBIT/TA; low D/E.
KLAC,1.00,3,Z″=4.08 Safe; strong EBIT/TA; low D/E.
NFLX,1.00,3,Z″=3.38 Safe; strong EBIT/TA; low D/E.
PAYX,1.00,3,Z″=3.06 Safe; strong EBIT/TA; low D/E.
INTC,1.00,3,Z″=3.08 Safe; strong EBIT/TA; low D/E.
PEP,1.00,3,Z″=3.13 Safe; strong EBIT/TA; low D/E.
