Ticker,Score,Weight (%),Reason
MNST,1.00,3,Z″=13.12 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=12.91 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=12.65 Safe; strong EBIT/TA; very low D/E.
LRCX,1.00,3,Z″=9.18 Safe; strong EBIT/TA; moderate D/E.
AMAT,1.00,3,Z″=9.68 Safe; strong EBIT/TA; moderate D/E.
VRTX,1.00,3,Z″=9.99 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=10.04 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=10.87 Safe; strong EBIT/TA; low D/E.
CPRT,1.00,3,Z″=10.49 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.73 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=5.43 Safe; strong EBIT/TA; moderate D/E.
DXCM,1.00,3,Z″=5.24 Safe; strong EBIT/TA; moderate D/E.
TTWO,1.00,3,Z″=4.93 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=4.74 Safe; strong EBIT/TA; moderate D/E.
SNPS,1.00,3,Z″=4.72 Safe; strong EBIT/TA; low D/E.
MSFT,1.00,3,Z″=4.75 Safe; strong EBIT/TA; moderate D/E.
QCOM,1.00,3,Z″=4.57 Safe; strong EBIT/TA; moderate D/E.
INTU,1.00,3,Z″=4.37 Safe; strong EBIT/TA; low D/E.
TTD,1.00,3,Z″=4.43 Safe; strong EBIT/TA; moderate D/E.
EA,1.00,3,Z″=3.97 Safe; strong EBIT/TA; low D/E.
HON,1.00,3,Z″=3.87 Safe; strong EBIT/TA; moderate D/E.
DASH,1.00,3,Z″=3.24 Safe; strong EBIT/TA; low D/E.
PAYX,1.00,3,Z″=3.23 Safe; strong EBIT/TA; moderate D/E.
WBD,1.00,3,Z″=2.71 Safe; strong EBIT/TA; moderate D/E.
NFLX,1.00,3,Z″=2.66 Safe; strong EBIT/TA; moderate D/E.
MCHP,1.00,3,Z″=2.65 Safe; strong EBIT/TA; moderate D/E.
CSCO,1.00,3,Z″=2.65 Safe; strong EBIT/TA; moderate D/E.
MRVL,1.00,3,Z″=2.92 Safe; strong EBIT/TA; low D/E.
GILD,1.00,3,Z″=2.95 Safe; strong EBIT/TA; moderate D/E.
ZS,1.00,3,Z″=1.24 Grey; strong EBIT/TA; moderate D/E.
