Ticker,Score,Weight (%),Reason
MNST,1.00,3,Z″=11.41 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=11.77 Safe; strong EBIT/TA; modest D/E.
CPTR,1.00,3,Z″=14.32 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=11.16 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=11.77 Safe; strong EBIT/TA; modest D/E.
LRCX,1.00,3,Z″=9.68 Safe; strong EBIT/TA; modest D/E.
AMAT,1.00,3,Z″=9.59 Safe; strong EBIT/TA; modest D/E.
VRTX,1.00,3,Z″=9.60 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.74 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.22 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=7.30 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=6.95 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=6.71 Safe; strong EBIT/TA; modest D/E.
MU,1.00,3,Z″=6.61 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.06 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=6.16 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=5.64 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=5.44 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=5.46 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=5.32 Safe; strong EBIT/TA; low D/E.
AVGO,1.00,3,Z″=2.96 Safe; strong EBIT/TA; modest D/E.
NFLX,1.00,3,Z″=3.06 Safe; strong EBIT/TA; modest D/E.
MCHP,1.00,3,Z″=3.10 Safe; strong EBIT/TA; modest D/E.
PAYX,1.00,3,Z″=3.37 Safe; strong EBIT/TA; modest D/E.
ROST,1.00,3,Z″=3.77 Safe; strong EBIT/TA; modest D/E.
DXCM,1.00,3,Z″=3.77 Safe; strong EBIT/TA; modest D/E.
PEP,1.00,3,Z″=3.29 Safe; strong EBIT/TA; modest D/E.
EA,1.00,3,Z″=4.12 Safe; strong EBIT/TA; modest D/E.
HON,1.00,3,Z″=4.24 Safe; strong EBIT/TA; modest D/E.
SNPS,1.00,3,Z″=4.57 Safe; strong EBIT/TA; modest D/E.
