Ticker,Score,Weight (%),Reason
MNST,1.00,4,Z″=12.11 Safe; strong EBIT/TA; low D/E.
FAST,1.00,4,Z″=11.29 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,4,Z″=12.89 Safe; strong EBIT/TA; low D/E.
REGN,1.00,4,Z″=9.63 Safe; strong EBIT/TA; low D/E.
TXN,1.00,4,Z″=9.18 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,4,Z″=9.49 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,4,Z″=7.68 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,4,Z″=7.17 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,4,Z″=7.21 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,4,Z″=6.36 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,4,Z″=6.14 Safe; strong EBIT/TA; low D/E.
KLAC,1.00,4,Z″=5.67 Safe; strong EBIT/TA; low D/E.
NFLX,1.00,4,Z″=5.16 Safe; strong EBIT/TA; low D/E.
MSTR,1.00,4,Z″=5.17 Safe; strong EBIT/TA; low D/E.
MU,1.00,4,Z″=5.96 Safe; strong EBIT/TA; low D/E.
AMD,1.00,4,Z″=5.82 Safe; strong EBIT/TA; low D/E.
SHOP,1.00,4,Z″=8.96 Safe; strong EBIT/TA; low D/E.
MSFT,1.00,4,Z″=4.49 Safe; strong EBIT/TA; low D/E.
ADBE,1.00,4,Z″=7.47 Safe; strong EBIT/TA; low D/E.
PLTR,1.00,4,Z″=8.27 Safe; strong EBIT/TA; low D/E.
TSLA,1.00,4,Z″=4.43 Safe; strong EBIT/TA; low D/E.
PYPL,1.00,4,Z″=3.31 Safe; strong EBIT/TA; low D/E.
