Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=16.99 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=13.12 Safe; high EBIT/TA; low D/E.
MNST,1.00,3,Z″=10.65 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=10.45 Safe; strong EBIT/TA; modest D/E.
FAST,1.00,3,Z″=11.70 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=11.71 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.56 Safe; strong EBIT/TA; modest D/E.
REGN,1.00,3,Z″=9.70 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=9.48 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.21 Safe; strong EBIT/TA; modest D/E.
TXN,1.00,3,Z″=8.87 Safe; strong EBIT/TA; modest D/E.
CDNS,1.00,3,Z″=6.29 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=7.58 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.21 Safe; strong EBIT/TA; modest D/E.
VRTX,1.00,3,Z″=7.33 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.29 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.21 Safe; strong EBIT/TA; modest D/E.
BKNG,1.00,3,Z″=7.15 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=7.06 Safe; strong EBIT/TA; low D/E.
VRSK,1.00,3,Z″=6.99 Safe; strong EBIT/TA; high D/E.
PLTR,1.00,3,Z″=6.99 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=6.50 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.29 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=6.61 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=5.75 Safe; strong EBIT/TA; modest D/E.
MU,1.00,3,Z″=5.78 Safe; strong EBIT/TA; low D/E.
PCAR,1.00,3,Z″=5.50 Safe; strong EBIT/TA; modest D/E.
NFLX,1.00,3,Z″=4.39 Safe; strong EBIT/TA; modest D/E.
MSFT,1.00,3,Z″=4.57 Safe; strong EBIT/TA; low D/E.
TSLA,1.00,3,Z″=4.53 Safe; strong EBIT/TA; low D/E.
