Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=15.44 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=12.60 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=11.88 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=11.41 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.39 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=9.41 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=9.14 Safe; strong EBIT/TA; low D/E.
IDXX,1.00,3,Z″=9.27 Safe; strong EBIT/TA; low D/E.
CSGP,1.00,3,Z″=8.96 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.11 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=7.18 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=7.43 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=9.97 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.11 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=6.76 Safe; strong EBIT/TA; low D/E.
GILD,1.00,3,Z″=2.88 Safe; strong EBIT/TA; low D/E.
WDAY,1.00,3,Z″=2.94 Safe; strong EBIT/TA; low D/E.
ABNB,1.00,3,Z″=2.65 Safe; strong EBIT/TA; low D/E.
NXPI,1.00,3,Z″=2.67 Safe; strong EBIT/TA; low D/E.
PYPL,1.00,3,Z″=2.78 Safe; strong EBIT/TA; low D/E.
PLTR,1.00,3,Z″=6.48 Safe; strong EBIT/TA; low D/E.
TSLA,1.00,3,Z″=4.25 Safe; strong EBIT/TA; low D/E.
ADBE,1.00,3,Z″=6.92 Safe; strong EBIT/TA; low D/E.
MSFT,1.00,3,Z″=4.35 Safe; strong EBIT/TA; low D/E.
NFLX,1.00,3,Z″=4.06 Safe; strong EBIT/TA; low D/E.
PAYX,1.00,3,Z″=3.94 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=6.54 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=5.47 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=9.96 Safe; strong EBIT/TA; low D/E.
ROST,1.00,3,Z″=3.83 Safe; strong EBIT/TA; low D/E.
