Ticker,Score,Weight (%),Reason
CPRT,1.00,3,Z″=14.05 Safe; strong EBIT/TA; low D/E.
MNST,1.00,3,Z″=11.99 Safe; strong EBIT/TA; low D/E.
FAST,1.00,3,Z″=11.45 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=11.24 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=10.81 Safe; strong EBIT/TA; low D/E.
AMAT,1.00,3,Z″=10.02 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.56 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=9.42 Safe; strong EBIT/TA; low D/E.
ODFL,1.00,3,Z″=8.39 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=8.31 Safe; strong EBIT/TA; low D/E.
LULU,1.00,3,Z″=7.61 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=7.41 Safe; strong EBIT/TA; low D/E.
BKNG,1.00,3,Z″=7.09 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=6.84 Safe; strong EBIT/TA; low D/E.
CDNS,1.00,3,Z″=6.28 Safe; strong EBIT/TA; low D/E.
ON,1.00,3,Z″=5.97 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=5.95 Safe; strong EBIT/TA; low D/E.
AMD,1.00,3,Z″=5.43 Safe; strong EBIT/TA; low D/E.
QCOM,1.00,3,Z″=4.92 Safe; strong EBIT/TA; low D/E.
SNPS,1.00,3,Z″=4.83 Safe; strong EBIT/TA; low D/E.
EA,1.00,3,Z″=4.64 Safe; strong EBIT/TA; low D/E.
AXON,1.00,3,Z″=4.68 Safe; strong EBIT/TA; low D/E.
DDOG,1.00,3,Z″=4.38 Safe; strong EBIT/TA; low D/E.
INTU,1.00,3,Z″=4.35 Safe; strong EBIT/TA; low D/E.
BIIB,1.00,3,Z″=4.41 Safe; strong EBIT/TA; low D/E.
HON,1.00,3,Z″=4.42 Safe; strong EBIT/TA; low D/E.
KLAC,1.00,3,Z″=4.44 Safe; strong EBIT/TA; low D/E.
DXCM,1.00,3,Z″=4.45 Safe; strong EBIT/TA; low D/E.
TTD,1.00,3,Z″=4.13 Safe; strong EBIT/TA; low D/E.
TSLA,1.00,4,Z″=4.16 Safe; strong EBIT/TA; low D/E.
