Ticker,Score,Weight (%),Reason
MNST,1.00,3,Z″=12.81 Safe; strong EBIT/TA; low D/E.
TXN,1.00,3,Z″=13.31 Safe; high EBIT/TA; low D/E.
CPRT,1.00,3,Z″=13.46 Safe; strong EBIT/TA; low D/E.
MU,1.00,3,Z″=8.25 Safe; strong EBIT/TA; low D/E.
LRCX,1.00,3,Z″=9.15 Safe; strong EBIT/TA; moderate D/E.
FAST,1.00,3,Z″=9.89 Safe; strong EBIT/TA; low D/E.
GOOGL,1.00,3,Z″=8.11 Safe; strong EBIT/TA; low D/E.
NVDA,1.00,3,Z″=6.69 Safe; strong EBIT/TA; low D/E.
REGN,1.00,3,Z″=10.60 Safe; strong EBIT/TA; low D/E.
MSFT,1.00,3,Z″=4.51 Safe; strong EBIT/TA; moderate D/E.
ADBE,1.00,3,Z″=6.09 Safe; strong EBIT/TA; moderate D/E.
ROST,1.00,3,Z″=4.01 Safe; strong EBIT/TA; moderate D/E.
QCOM,1.00,3,Z″=4.65 Safe; strong EBIT/TA; moderate D/E.
AMD,1.00,3,Z″=5.82 Safe; strong EBIT/TA; low D/E.
META,1.00,3,Z″=7.21 Safe; strong EBIT/TA; low D/E.
VRTX,1.00,3,Z″=10.03 Safe; strong EBIT/TA; low D/E.
ISRG,1.00,3,Z″=12.18 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CDNS,1.00,3,Z″=6.64 Safe; strong EBIT/TA; low D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
CTAS,1.00,3,Z″=6.48 Safe; strong EBIT/TA; moderate D/E.
