Ticker,Score,Weight (%),Reason
MSFT,0.95,10,Strong liquidity and profitability; high interest coverage.
AAPL,0.92,9,Excellent profitability and asset turnover; strong liquidity.
NVDA,0.90,9,High profit margin and asset turnover; strong interest coverage.
GOOGL,0.88,9,Strong liquidity and profitability; high interest coverage.
META,0.87,8,High profitability and interest coverage; strong liquidity.
TXN,0.85,8,Strong liquidity and profitability; good interest coverage.
AMZN,0.84,8,Strong asset turnover and profitability; good liquidity.
ADP,0.83,8,High profitability and asset turnover; strong liquidity.
CDNS,0.82,7,Strong profitability and asset turnover; good liquidity.
KLAC,0.81,7,High profitability and asset turnover; strong liquidity.
ISRG,0.80,7,Strong liquidity and profitability; good interest coverage.
ADBE,0.79,6,High profitability and interest coverage; good liquidity.
LRCX,0.78,6,Strong profitability and asset turnover; good liquidity.
AMD,0.77,5,Good asset turnover and profitability; strong liquidity.
AVGO,0.76,5,High profitability and asset turnover; good liquidity.
