Ticker,Score,Weight (%),Reason
MSFT,0.95,10,"high ROE, strong coverage, fair multiple"
NVDA,0.93,9,"high ROE, strong coverage, fair multiple"
AAPL,0.92,9,"high ROE, strong coverage, fair multiple"
META,0.91,9,"high ROE, strong coverage, fair multiple"
GOOGL,0.90,9,"high ROE, strong coverage, fair multiple"
AMZN,0.89,8,"high ROE, strong coverage, fair multiple"
ADP,0.88,8,"high ROE, strong coverage, fair multiple"
COST,0.87,8,"high ROE, strong coverage, fair multiple"
TXN,0.86,8,"high ROE, strong coverage, fair multiple"
ROST,0.85,8,"high ROE, strong coverage, fair multiple"
IDXX,0.84,8,"high ROE, strong coverage, fair multiple"
KLAC,0.83,8,"high ROE, strong coverage, fair multiple"
LRCX,0.82,8,"high ROE, strong coverage, fair multiple"
FAST,0.81,8,"high ROE, strong coverage, fair multiple"
ODFL,0.80,8,"high ROE, strong coverage, fair multiple"
