Ticker,Score,Weight (%),Reason
NVDA,0.95,10,"High ROE, strong interest coverage, excellent profit margin."
AAPL,0.92,9,"High ROE, strong cash flow, robust moat."
MSFT,0.90,9,"High ROE, strong interest coverage, fair valuation."
META,0.88,8,"High ROE, strong interest coverage, fair valuation."
ADP,0.87,8,"High ROE, strong interest coverage, fair valuation."
GOOGL,0.85,8,"High ROE, strong interest coverage, fair valuation."
KLAC,0.84,7,"High ROE, strong interest coverage, fair valuation."
LULU,0.83,7,"High ROE, strong interest coverage, fair valuation."
MELI,0.82,6,"High ROE, strong interest coverage, fair valuation."
AMZN,0.81,6,"High ROE, strong interest coverage, fair valuation."
TXN,0.80,6,"High ROE, strong interest coverage, fair valuation."
ROST,0.79,6,"High ROE, strong interest coverage, fair valuation."
FAST,0.78,5,"High ROE, strong interest coverage, fair valuation."
CDNS,0.77,5,"High ROE, strong interest coverage, fair valuation."
SNPS,0.76,5,"High ROE, strong interest coverage, fair valuation."
IDXX,0.75,5,"High ROE, strong interest coverage, fair valuation."
VRSK,0.74,4,"High ROE, strong interest coverage, fair valuation."
ORLY,0.73,4,"High ROE, strong interest coverage, fair valuation."
ISRG,0.72,4,"High ROE, strong interest coverage, fair valuation."
EA,0.71,4,"High ROE, strong interest coverage, fair valuation."
