Ticker,Score,Weight (%),Reason
AAPL,0.95,10,"High ROE, strong ROCE, fair valuation."
MSFT,0.92,9,"Strong interest coverage, high ROCE, fair multiple."
NVDA,0.90,9,"High ROE, strong interest coverage, fair valuation."
GOOGL,0.88,8,"High interest coverage, strong ROCE, fair valuation."
META,0.87,8,"High ROE, strong interest coverage, fair valuation."
AMGN,0.85,8,"High ROE, strong interest coverage, fair valuation."
TXN,0.84,7,"High ROE, strong interest coverage, fair valuation."
KLAC,0.83,7,"High ROE, strong interest coverage, fair valuation."
LRCX,0.82,7,"High ROE, strong interest coverage, fair valuation."
AVGO,0.81,7,"High ROE, strong interest coverage, fair valuation."
CDNS,0.80,6,"High ROE, strong interest coverage, fair valuation."
ADP,0.79,6,"High ROE, strong interest coverage, fair valuation."
COST,0.78,6,"High ROE, strong interest coverage, fair valuation."
PEP,0.77,6,"High ROE, strong interest coverage, fair valuation."
ROST,0.76,5,"High ROE, strong interest coverage, fair valuation."
