Ticker,Score,Weight (%),Reason
MSFT,0.95,10,"High ROE, strong interest coverage, fair valuation."
AAPL,0.93,9,"High ROE, strong cash flow, fair valuation."
NVDA,0.92,9,"High ROE, strong interest coverage, fair valuation."
META,0.91,9,"High ROE, strong interest coverage, fair valuation."
GOOGL,0.90,8,"High ROE, strong interest coverage, fair valuation."
AMZN,0.89,8,"High ROE, strong cash flow, fair valuation."
TXN,0.88,8,"High ROE, strong interest coverage, fair valuation."
AVGO,0.87,7,"High ROE, strong interest coverage, fair valuation."
ADP,0.86,7,"High ROE, strong interest coverage, fair valuation."
CDNS,0.85,7,"High ROE, strong interest coverage, fair valuation."
KLAC,0.84,6,"High ROE, strong interest coverage, fair valuation."
SNPS,0.83,6,"High ROE, strong interest coverage, fair valuation."
ROST,0.82,6,"High ROE, strong interest coverage, fair valuation."
COST,0.81,5,"High ROE, strong interest coverage, fair valuation."
ORLY,0.80,5,"High ROE, strong interest coverage, fair valuation."
