Ticker,Score,Weight (%),Reason
NVDA,0.95,10,"High ROE, strong interest coverage, fair multiple."
AAPL,0.92,9,"Exceptional ROE, strong cash flow, fair valuation."
MSFT,0.90,9,"High profit margin, strong interest coverage, fair valuation."
META,0.88,8,"High ROE, strong interest coverage, fair multiple."
GOOGL,0.87,8,"High profit margin, strong interest coverage, fair valuation."
AMZN,0.85,8,"Strong cash flow, fair valuation, high interest coverage."
KLAC,0.84,7,"High ROE, strong interest coverage, fair multiple."
TXN,0.82,7,"High profit margin, strong interest coverage, fair valuation."
QCOM,0.81,6,"High ROE, strong interest coverage, fair multiple."
ADP,0.80,6,"High ROE, strong cash flow, fair valuation."
CDNS,0.79,6,"High ROE, strong interest coverage, fair multiple."
AVGO,0.78,6,"High ROE, strong cash flow, fair valuation."
LRCX,0.77,5,"High ROE, strong interest coverage, fair multiple."
AMD,0.76,5,"High ROE, strong interest coverage, fair multiple."
ADI,0.75,5,"High ROE, strong cash flow, fair valuation."
