Ticker,Score,Weight (%),Reason
MSFT,0.92,10,"High ROE, strong coverage, fair multiple."
AAPL,0.91,9,"High ROE, strong cash flow, fair valuation."
NVDA,0.89,9,"High ROE, strong interest coverage, fair valuation."
META,0.88,9,"High ROE, strong cash flow, fair valuation."
GOOGL,0.87,8,"High ROE, strong interest coverage, fair valuation."
AMZN,0.86,8,"Strong cash flow, fair valuation, good coverage."
TSLA,0.85,8,"High profit margin, strong interest coverage."
ADP,0.84,7,"High ROE, strong cash flow, fair valuation."
ROST,0.83,7,"High profit margin, strong interest coverage."
TXN,0.82,7,"High ROE, strong interest coverage, fair valuation."
PEP,0.81,6,"Strong cash flow, fair valuation, good coverage."
COST,0.80,6,"Strong cash flow, fair valuation, good coverage."
CDNS,0.79,6,"High ROE, strong interest coverage, fair valuation."
LULU,0.78,5,"High ROE, strong cash flow, fair valuation."
KLAC,0.77,5,"High ROE, strong interest coverage, fair valuation."
VRTX,0.76,5,"High ROE, strong cash flow, fair valuation."
IDXX,0.75,4,"High ROE, strong interest coverage, fair valuation."
SNPS,0.74,4,"High ROE, strong interest coverage, fair valuation."
ISRG,0.73,4,"High ROE, strong cash flow, fair valuation."
REGN,0.72,4,"High ROE, strong interest coverage, fair valuation."
