Ticker,Score,Weight (%),Reason
AAPL,0.89,9,F=8/9; strong profitability and efficiency.
AVGO,0.89,9,F=8/9; strong profitability and efficiency.
FTNT,0.89,9,F=8/9; strong profitability and efficiency.
MCHP,0.89,9,F=8/9; strong profitability and efficiency.
PAYX,0.89,9,F=8/9; strong profitability and efficiency.
PLTR,0.89,9,F=8/9; strong profitability and efficiency.
ADBE,0.78,8,F=7/9; positive ROA & margins.
ADI,0.78,8,F=7/9; positive ROA & margins.
ADP,0.78,8,F=7/9; positive ROA & margins.
ADSK,0.78,8,F=7/9; positive ROA & margins.
BIIB,0.78,8,F=7/9; positive ROA & margins.
COST,0.78,8,F=7/9; positive ROA & margins.
CRWD,0.78,8,F=7/9; positive ROA & margins.
CSCO,0.78,8,F=7/9; positive ROA & margins.
CTAS,0.78,8,F=7/9; positive ROA & margins.
FAST,0.78,8,F=7/9; positive ROA & margins.
INTU,0.78,8,F=7/9; positive ROA & margins.
ISRG,0.78,8,F=7/9; positive ROA & margins.
MELI,0.78,8,F=7/9; positive ROA & margins.
MNST,0.78,8,F=7/9; positive ROA & margins.
PANW,0.78,8,F=7/9; positive ROA & margins.
PYPL,0.78,8,F=7/9; positive ROA & margins.
ROST,0.78,8,F=7/9; positive ROA & margins.
