Ticker,Score,Weight (%),Reason
FANG,1.00,5,Highest EY & strong ROIC.
PCAR,0.99,5,High EY & solid ROIC.
CSCO,0.98,5,High EY & good ROIC.
CTAS,0.97,5,High EY & strong ROIC.
NXPI,0.96,5,High EY & strong ROIC.
ON,0.95,5,High EY & solid ROIC.
MCHP,0.94,5,High EY & strong ROIC.
KHC,0.93,5,High EY & good ROIC.
AMGN,0.92,5,High EY & strong ROIC.
LRCX,0.91,5,High EY & solid ROIC.
CDW,0.90,5,High EY & good ROIC.
REGN,0.89,5,High EY & strong ROIC.
KLAC,0.88,5,High EY & solid ROIC.
TXN,0.87,5,High EY & good ROIC.
PAYX,0.86,5,High EY & strong ROIC.
BIIB,0.85,5,High EY & solid ROIC.
GILD,0.84,5,High EY & strong ROIC.
ADI,0.83,5,High EY & good ROIC.
AMAT,0.82,5,High EY & solid ROIC.
BKR,0.81,5,High EY & good ROIC.
