Ticker,Score,Weight (%),Reason
FANG,1.00,4,Highest EY; strong ROIC.
GILD,0.99,4,High EY & ROIC; mild D/E penalty.
PCAR,0.98,4,High EY & ROIC; no safety penalties.
PYPL,0.97,4,High EY & ROIC; mild D/E penalty.
CMCSA,0.96,4,High EY & ROIC; mild D/E penalty.
KHC,0.95,4,High EY & ROIC; no safety penalties.
ON,0.94,4,High EY & ROIC; no safety penalties.
BKR,0.93,4,High EY & ROIC; no safety penalties.
CSX,0.92,4,High EY & ROIC; mild D/E penalty.
PEP,0.91,4,High EY & ROIC; mild D/E penalty.
ROST,0.90,4,High EY & ROIC; mild D/E penalty.
PAYX,0.89,4,High EY & ROIC; mild D/E penalty.
NXPI,0.88,4,High EY & ROIC; mild D/E penalty.
CDW,0.87,4,High EY & ROIC; mild D/E penalty.
HON,0.86,4,High EY & ROIC; mild D/E penalty.
LULU,0.85,4,High EY & ROIC; no safety penalties.
TXN,0.84,4,High EY & ROIC; mild D/E penalty.
ORLY,0.83,4,High EY & ROIC; mild D/E penalty.
REGN,0.82,4,High EY & ROIC; no safety penalties.
MNST,0.81,4,High EY & ROIC; no safety penalties.
MCHP,0.80,4,High EY & ROIC; mild D/E penalty.
KLAC,0.79,4,High EY & ROIC; mild D/E penalty.
AMAT,0.78,4,High EY & ROIC; mild D/E penalty.
ADP,0.77,4,High EY & ROIC; mild D/E penalty.
ADBE,0.76,4,High EY & ROIC; mild D/E penalty.
AAPL,0.75,4,High EY & ROIC; mild D/E penalty.
AMGN,0.74,4,High EY & ROIC; mild D/E penalty.
AMD,0.73,4,High EY & ROIC; mild D/E penalty.
AMZN,0.72,4,High EY & ROIC; mild D/E penalty.
META,0.71,4,High EY & ROIC; mild D/E penalty.
