Ticker,Score,Weight (%),Reason
GILD,1.00,4,High EY & ROIC; no safety penalty.
QCOM,0.99,4,High EY & ROIC; mild D/E penalty.
REGN,0.99,4,High EY & ROIC; no safety penalty.
ON,0.98,4,High EY & ROIC; no safety penalty.
ROST,0.98,4,High EY & ROIC; mild D/E penalty.
LRCX,0.98,4,High EY & ROIC; mild D/E penalty.
META,0.98,4,High EY & ROIC; no safety penalty.
BIIB,0.98,4,High EY & ROIC; mild D/E penalty.
ORLY,0.98,4,High EY & ROIC; no safety penalty.
VRTX,0.98,4,High EY & ROIC; no safety penalty.
MU,0.97,4,High EY & ROIC; no safety penalty.
AMAT,0.97,4,High EY & ROIC; mild D/E penalty.
CSCO,0.97,4,High EY & ROIC; mild D/E penalty.
NXPI,0.97,4,High EY & ROIC; mild D/E penalty.
TXN,0.97,4,High EY & ROIC; no safety penalty.
MSFT,0.97,4,High EY & ROIC; mild D/E penalty.
MCHP,0.97,4,High EY & ROIC; mild D/E penalty.
CDW,0.97,4,High EY & ROIC; mild D/E penalty.
CPTR,0.97,4,High EY & ROIC; no safety penalty.
AVGO,0.97,4,High EY & ROIC; mild D/E penalty.
ADI,0.97,4,High EY & ROIC; no safety penalty.
AMD,0.97,4,High EY & ROIC; no safety penalty.
KLAC,0.97,4,High EY & ROIC; mild D/E penalty.
HON,0.97,4,High EY & ROIC; mild D/E penalty.
INTU,0.97,4,High EY & ROIC; mild D/E penalty.
PEP,0.97,4,High EY & ROIC; mild D/E penalty.
AAPL,0.97,4,High EY & ROIC; mild D/E penalty.
COST,0.97,4,High EY & ROIC; mild D/E penalty.
SBUX,0.97,4,High EY & ROIC; mild D/E penalty.
GOOGL,0.97,4,High EY & ROIC; no safety penalty.
