Ticker,Score,Weight (%),Reason
FANG,1.00,4,High EY & ROIC; no safety penalty.
GILD,0.99,4,High EY & ROIC; no safety penalty.
LRCX,0.98,4,High EY & ROIC; no safety penalty.
ON,0.97,4,High EY & ROIC; no safety penalty.
REGN,0.96,4,High EY & ROIC; no safety penalty.
CSCO,0.95,4,High EY & ROIC; no safety penalty.
NXPI,0.94,4,High EY & ROIC; D/E penalty.
QCOM,0.93,4,High EY & ROIC; D/E penalty.
TXN,0.92,4,High EY & ROIC; no safety penalty.
CMCSA,0.91,4,High EY & ROIC; D/E penalty.
PCAR,0.90,4,High EY & ROIC; no safety penalty.
KHC,0.89,4,High EY & ROIC; no safety penalty.
BIIB,0.88,4,High EY & ROIC; no safety penalty.
MCHP,0.87,4,High EY & ROIC; D/E penalty.
AVGO,0.86,4,High EY & ROIC; D/E penalty.
AMAT,0.85,4,High EY & ROIC; no safety penalty.
CSX,0.84,4,High EY & ROIC; D/E penalty.
ORLY,0.83,4,High EY & ROIC; no safety penalty.
CDW,0.82,4,High EY & ROIC; D/E penalty.
HON,0.81,4,High EY & ROIC; D/E penalty.
AMD,0.80,4,High EY & ROIC; no safety penalty.
MU,0.79,4,High EY & ROIC; no safety penalty.
KLAC,0.78,4,High EY & ROIC; D/E penalty.
MSFT,0.77,4,High EY & ROIC; D/E penalty.
AAPL,0.76,4,High EY & ROIC; D/E penalty.
META,0.75,4,High EY & ROIC; no safety penalty.
PEP,0.74,4,High EY & ROIC; D/E penalty.
ADI,0.73,4,High EY & ROIC; no safety penalty.
LULU,0.72,4,High EY & ROIC; no safety penalty.
PAYX,0.71,4,High EY & ROIC; D/E penalty.
